YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,2,2,2.427272727,1.081805946,2,110200,2240,3,1,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,43600,924,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,53600,1216,3,2,1,2,1
2014,1,2,1,4.854545455,0.927452179,2,46900,1216,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,42000,1280,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,87300,1568,3,1,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,90800,1792,3,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,1,87900,1456,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,2,89400,2176,3,2,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,95900,1984,3,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,43200,1120,3,2,3,2,1
2014,1,1,2,2.408333333,1.081805946,2,105800,2000,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,2,85300,2500,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,1,56000,1232,3,9,9,9,9
2014,1,2,1,4.854545455,0.927452179,2,57300,1300,3,2,1,1,9
2014,1,1,2,2.408333333,1.081805946,2,93000,1736,1,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,66400,1568,3,2,3,2,1
2014,1,1,2,2.408333333,1.081805946,2,77700,1288,3,2,3,2,1
2014,1,5,3,3.856140351,1.081805946,2,143100,2160,3,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,228600,1568,1,2,1,2,1
2014,1,3,1,34.77857143,0.927452179,2,53600,700,1,2,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,76300,1248,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,91500,1568,3,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,1,119300,2112,3,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,56900,1312,1,2,3,3,1
2014,1,1,2,2.408333333,1.081805946,2,92000,1680,3,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,2,106400,2000,3,3,3,2,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,2,92900,1456,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,51600,1152,3,2,1,2,1
2014,1,3,2,17.38928571,1.081805946,2,85000,1344,3,1,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,100000,1647,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,74000,1512,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,1,56900,1456,3,9,9,9,9
2014,1,3,1,34.77857143,0.927452179,2,46500,1216,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,78600,2048,3,2,1,1,9
2014,1,4,1,11.56842105,0.927452179,2,50000,900,1,2,1,3,1
2014,1,4,1,11.56842105,0.927452179,2,84200,900,1,2,3,3,1
2014,1,2,1,4.854545455,0.927452179,2,26900,700,1,2,1,1,9
